tamil,brahmi
அண்கண்ணி வாடாமை யால்நல்ல என்றுஆற்றான்,𑀅𑀡𑀺𑀓𑀡𑀺𑀡𑀺 𑀯𑀸𑀝𑀸𑀫𑁄 𑀬𑀸𑀮𑀺𑀦𑀮𑀺𑀮 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀦𑁆𑀦𑀺
உண்கண்ணி வாடாள் உடன்று,𑀉𑀡𑀺𑀓𑀡𑀺𑀡𑀺 𑀯𑀸𑀝𑀸𑀴𑀺 𑀉𑀝𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
கொல்யானை வெண்மருப்பும் கொல்வல் புலியதளும்,𑀓𑁅𑀮𑀺𑀬𑀸𑀦𑁆𑀦𑁄 𑀯𑁂𑀡𑀺𑀫𑀭𑀼𑀧𑀺𑀧𑀼𑀫𑀺 𑀓𑁅𑀮𑀺𑀯𑀮𑀺 𑀧𑀼𑀮𑀺𑀬𑀢𑀴𑀼𑀫𑀺
நல்யானை நின்ஐயர் கூட்டுண்டு செல்வர்தாம்,𑀦𑀮𑀺𑀬𑀸𑀦𑁆𑀦𑁄 𑀦𑀺𑀦𑁆𑀦𑀺𑀑𑀬𑀭𑀺 𑀓𑀽𑀝𑀺𑀝𑀼𑀡𑀺𑀝𑀼 𑀘𑁂𑀮𑀺𑀯𑀭𑀺𑀢𑀸𑀫𑀺
ஓரம்பி னான்எய்து போக்குவர்யான் போகாமல்,𑀓𑀭𑀫𑀺𑀧𑀺 𑀦𑁆𑀦𑀸𑀦𑁆𑀦𑀺𑀏𑀬𑀺𑀢𑀼 𑀧𑁆𑀓𑀺𑀓𑀼𑀯𑀭𑀺𑀬𑀸𑀦𑁆𑀦𑀺 𑀧𑁆𑀓𑀸𑀫𑀮𑀺
ஈரம்பி னால்எய்தாய் இன்று,𑀈𑀭𑀫𑀺𑀧𑀺 𑀦𑁆𑀦𑀸𑀮𑀺𑀏𑀬𑀺𑀢𑀸𑀬𑀺 𑀇𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
பெருமலை தாம்நாடித் தேன்துய்த்துப் பேணாது,𑀧𑁂𑀭𑀼𑀫𑀮𑁄 𑀢𑀸𑀫𑀺𑀦𑀸𑀝𑀺𑀢𑀺 𑀢𑁃𑀦𑁆𑀦𑀺𑀢𑀼𑀬𑀺𑀢𑀺𑀢𑀼𑀧𑀺 𑀧𑁃𑀡𑀸𑀢𑀼
அருமலை மாய்க்குமவர் தங்கை திருமுலைக்கு,𑀅𑀭𑀼𑀫𑀮𑁄 𑀫𑀸𑀬𑀺𑀓𑀺𑀓𑀼𑀫𑀯𑀭𑀺 𑀢𑀗𑀺𑀓𑁄 𑀢𑀺𑀭𑀼𑀫𑀼𑀮𑁄𑀓𑀺𑀓𑀼
நாணழிந்து நல்ல நலனழிந்து நைந்துருகி,𑀦𑀸𑀡𑀰𑀺𑀦𑀺𑀢𑀼 𑀦𑀮𑀺𑀮 𑀦𑀮𑀦𑁆𑀦𑀰𑀺𑀦𑀺𑀢𑀼 𑀦𑁄𑀦𑀺𑀢𑀼𑀭𑀼𑀓𑀺
ஏண்அழிதற்கு யாமே இனம்,𑀐𑀡𑀺𑀅𑀰𑀺𑀢𑀭𑁆𑀭𑀺𑀓𑀼 𑀬𑀸𑀫𑁃 𑀇𑀦𑁆𑀦𑀫𑀺
நறுந்தண் தகரம் வகுளம் இவற்றை,𑀦𑀭𑁆𑀭𑀼𑀦𑀺𑀢𑀡𑀺 𑀢𑀓𑀭𑀫𑀺 𑀯𑀓𑀼𑀴𑀫𑀺 𑀇𑀯𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁄
வெறும்புதல்போல் வேண்டாது வேண்டி எறிந்துஉழுது,𑀯𑁂𑀭𑁆𑀭𑀼𑀫𑀺𑀧𑀼𑀢𑀮𑀺𑀧𑁆𑀮𑀺 𑀯𑁃𑀡𑀺𑀝𑀸𑀢𑀼 𑀯𑁃𑀡𑀺𑀝𑀺 𑀏𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼𑀉𑀰𑀼𑀢𑀼
செந்தினை வித்துவார் தங்கை பிறர்நோய்க்கு,𑀘𑁂𑀦𑀺𑀢𑀺𑀦𑁆𑀦𑁄 𑀯𑀺𑀢𑀺𑀢𑀼𑀯𑀸𑀭𑀺 𑀢𑀗𑀺𑀓𑁄 𑀧𑀺𑀭𑁆𑀭𑀭𑀺𑀦𑁆𑀬𑀺𑀓𑀺𑀓𑀼
நொந்தினைய வல்லளோ நோக்கு,𑀦𑁅𑀦𑀺𑀢𑀺𑀦𑁆𑀦𑁄𑀬 𑀯𑀮𑀺𑀮𑀴𑁆 𑀦𑁆𑀓𑀺𑀓𑀼
கொல்லியல் வேழும் குயவரி கோட்பிழைத்து,𑀓𑁅𑀮𑀺𑀮𑀺𑀬𑀮𑀺 𑀯𑁃𑀰𑀼𑀫𑀺 𑀓𑀼𑀬𑀯𑀭𑀺 𑀓𑁆𑀝𑀺𑀧𑀺𑀰𑁄𑀢𑀺𑀢𑀼
நல்லியல் தம்இனம் நாடுவபோல் நல்லியல்,𑀦𑀮𑀺𑀮𑀺𑀬𑀮𑀺 𑀢𑀫𑀺𑀇𑀦𑁆𑀦𑀫𑀺 𑀦𑀸𑀝𑀼𑀯𑀧𑁆𑀮𑀺 𑀦𑀮𑀺𑀮𑀺𑀬𑀮𑀺
நாமவேல் கண்ணாள் நடுநடுப்ப வாராலோ,𑀦𑀸𑀫𑀯𑁃𑀮𑀺 𑀓𑀡𑀺𑀡𑀸𑀴𑀺 𑀦𑀝𑀼𑀦𑀝𑀼𑀧𑀺𑀧 𑀯𑀸𑀭𑀸𑀮𑁆
ஏமவேல் ஏந்திஇரா,𑀐𑀫𑀯𑁃𑀮𑀺 𑀐𑀦𑀺𑀢𑀺𑀇𑀭𑀸
கருங்கால் இளவேங்கை கான்றபூக் கள்மேல்,𑀓𑀭𑀼𑀗𑀺𑀓𑀸𑀮𑀺 𑀇𑀴𑀯𑁃𑀗𑀺𑀓𑁄 𑀓𑀸𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀧𑀽𑀓𑀺 𑀓𑀴𑀺𑀫𑁃𑀮𑀺
இருங்கால் வயவேங்கை ஏய்க்கும் மருங்கால்,𑀇𑀭𑀼𑀗𑀺𑀓𑀸𑀮𑀺 𑀯𑀬𑀯𑁃𑀗𑀺𑀓𑁄 𑀐𑀬𑀺𑀓𑀺𑀓𑀼𑀫𑀺 𑀫𑀭𑀼𑀗𑀺𑀓𑀸𑀮𑀺
மழைவளரும் சாரல் இரவரின் வாழாள்,𑀫𑀰𑁄𑀯𑀴𑀭𑀼𑀫𑀺 𑀘𑀸𑀭𑀮𑀺 𑀇𑀭𑀯𑀭𑀺𑀦𑁆𑀦𑀺 𑀯𑀸𑀰𑀸𑀴𑀺
இழைவளரும் சாயல் இனி,𑀇𑀰𑁄𑀯𑀴𑀭𑀼𑀫𑀺 𑀘𑀸𑀬𑀮𑀺 𑀇𑀦𑁆𑀦𑀺
பனிவரைநீள் வேங்கைப் பயமலைநன் நாட,𑀧𑀦𑁆𑀦𑀺𑀯𑀭𑁄𑀦𑀻𑀴𑀺 𑀯𑁃𑀗𑀺𑀓𑁄𑀧𑀺 𑀧𑀬𑀫𑀮𑁄𑀦𑀦𑁆𑀦𑀺 𑀦𑀸𑀝
இனிவரையாய் என்றெண்ணிச் சொல்வேன் முனிவரையுள்,𑀇𑀦𑁆𑀦𑀺𑀯𑀭𑁄𑀬𑀸𑀬𑀺 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁂𑀡𑀺𑀡𑀺𑀘𑀺 𑀘𑁅𑀮𑀺𑀯𑁃𑀦𑁆𑀦𑀺 𑀫𑀼𑀦𑁆𑀦𑀺𑀯𑀭𑁄𑀬𑀼𑀴𑀺
நின்றான் வலியாக நீவர யாய்கண்டாள்,𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀦𑁆𑀦𑀺 𑀯𑀮𑀺𑀬𑀸𑀓 𑀦𑀻𑀯𑀭 𑀬𑀸𑀬𑀺𑀓𑀡𑀺𑀝𑀸𑀴𑀺
ஒன்றாள்காப்பு ஈயும் உடன்று,𑀒𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀴𑀺𑀓𑀸𑀧𑀺𑀧𑀼 𑀈𑀬𑀼𑀫𑀺 𑀉𑀝𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
மேகம்தோய் சாந்தம் விசைதிமிசு காழ்அகில்,𑀫𑁃𑀓𑀫𑀺𑀢𑁆𑀬𑀺 𑀘𑀸𑀦𑀺𑀢𑀫𑀺 𑀯𑀺𑀘𑁄𑀢𑀺𑀫𑀺𑀘𑀼 𑀓𑀸𑀰𑀺𑀅𑀓𑀺𑀮𑀺
நாகம்தோய் நாகம்என இவற்றைப் போக,𑀦𑀸𑀓𑀫𑀺𑀢𑁆𑀬𑀺 𑀦𑀸𑀓𑀫𑀺𑀏𑀦𑁆𑀦 𑀇𑀯𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁄𑀧𑀺 𑀧𑁆𑀓
எறிந்துஉழுவார் தங்கை இருந்தடங்கண் கண்டும்,𑀏𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼𑀉𑀰𑀼𑀯𑀸𑀭𑀺 𑀢𑀗𑀺𑀓𑁄 𑀇𑀭𑀼𑀦𑀺𑀢𑀝𑀗𑀺𑀓𑀡𑀺 𑀓𑀡𑀺𑀝𑀼𑀫𑀺
அறிந்துழல்வான் ஓஇம் மலை,𑀅𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼𑀰𑀮𑀺𑀯𑀸𑀦𑁆𑀦𑀺 𑀓𑀇𑀫𑀺 𑀫𑀮𑁄
பலாஎழுந்த பால்வருக்கைப் பாத்தி அதன்நேர்,𑀧𑀮𑀸𑀏𑀰𑀼𑀦𑀺𑀢 𑀧𑀸𑀮𑀺𑀯𑀭𑀼𑀓𑀺𑀓𑁄𑀧𑀺 𑀧𑀸𑀢𑀺𑀢𑀺 𑀅𑀢𑀦𑁆𑀦𑀺𑀦𑁃𑀭𑀺
நிலாஎழுந்த வார்மணல் நீடிச் சுலாஎழுந்து,𑀦𑀺𑀮𑀸𑀏𑀰𑀼𑀦𑀺𑀢 𑀯𑀸𑀭𑀺𑀫𑀡𑀮𑀺 𑀦𑀻𑀝𑀺𑀘𑀺 𑀘𑀼𑀮𑀸𑀏𑀰𑀼𑀦𑀺𑀢𑀼
கான்யாறு கால்சீத்த காந்தளம்பூந் தண்பொதும்பர்,𑀓𑀸𑀦𑁆𑀦𑀺𑀬𑀸𑀭𑁆𑀭𑀼 𑀓𑀸𑀮𑀺𑀘𑀻𑀢𑀺𑀢 𑀓𑀸𑀦𑀺𑀢𑀴𑀫𑀺𑀧𑀽𑀦𑀺 𑀢𑀡𑀺𑀧𑁅𑀢𑀼𑀫𑀺𑀧𑀭𑀺
தான்நாறத் தாழ்ந்த இடம்,𑀢𑀸𑀦𑁆𑀦𑀺𑀦𑀸𑀭𑁆𑀭𑀢𑀺 𑀢𑀸𑀰𑀺𑀦𑀺𑀢 𑀇𑀝𑀫𑀺
திங்களுள் வில்லெழுதித் தேராது வேல்விலக்கித்,𑀢𑀺𑀗𑀺𑀓𑀴𑀼𑀴𑀺 𑀯𑀺𑀮𑀺𑀮𑁂𑀰𑀼𑀢𑀺𑀢𑀺 𑀢𑁃𑀭𑀸𑀢𑀼 𑀯𑁃𑀮𑀺𑀯𑀺𑀮𑀓𑀺𑀓𑀺𑀢𑀺
தங்களுள் ளாள்என்னும் தாழ்வினால் இங்கண்,𑀢𑀗𑀺𑀓𑀴𑀼𑀴𑀺 𑀴𑀸𑀴𑀺𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀢𑀸𑀰𑀺𑀯𑀺𑀦𑁆𑀦𑀸𑀮𑀺 𑀇𑀗𑀺𑀓𑀡𑀺
புனங்காக்க வைத்தார்போல் பூங்குழலைப் போந்தென்,𑀧𑀼𑀦𑁆𑀦𑀗𑀺𑀓𑀸𑀓𑀺𑀓 𑀯𑁄𑀢𑀺𑀢𑀸𑀭𑀺𑀧𑁆𑀮𑀺 𑀧𑀽𑀗𑀺𑀓𑀼𑀰𑀮𑁄𑀧𑀺 𑀧𑁆𑀦𑀺𑀢𑁂𑀦𑁆𑀦𑀺
மனங்காக்க வைத்தார் மருண்டு,𑀫𑀦𑁆𑀦𑀗𑀺𑀓𑀸𑀓𑀺𑀓 𑀯𑁄𑀢𑀺𑀢𑀸𑀭𑀺 𑀫𑀭𑀼𑀡𑀺𑀝𑀼
தன்குறையிது என்னான் தழைகொணரும் தண்சிலம்பன்,𑀢𑀦𑁆𑀦𑀺𑀓𑀼𑀭𑁆𑀭𑁄𑀬𑀺𑀢𑀼 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀦𑁆𑀦𑀺 𑀢𑀰𑁄𑀓𑁅𑀡𑀭𑀼𑀫𑀺 𑀢𑀡𑀺𑀘𑀺𑀮𑀫𑀺𑀧𑀦𑁆𑀦𑀺
நின்குறை என்னும் நினைப்பினனாய்ப் பொன்குறையும்,𑀦𑀺𑀦𑁆𑀦𑀺𑀓𑀼𑀭𑁆𑀭𑁄 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀦𑀺𑀦𑁆𑀦𑁄𑀧𑀺𑀧𑀺𑀦𑁆𑀦𑀦𑁆𑀦𑀸𑀬𑀺𑀧𑀺 𑀧𑁅𑀦𑁆𑀦𑀺𑀓𑀼𑀭𑁆𑀭𑁄𑀬𑀼𑀫𑀺
நாள்வேங்கை நீழலுள் நண்ணான் எவன்கொலோ,𑀦𑀸𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄 𑀦𑀻𑀰𑀮𑀼𑀴𑀺 𑀦𑀡𑀺𑀡𑀸𑀦𑁆𑀦𑀺 𑀏𑀯𑀦𑁆𑀦𑀺𑀓𑁅𑀮𑁆
கோள்வேங்கை யன்னான் குறிப்பு,𑀓𑁆𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄 𑀬𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀦𑁆𑀦𑀺 𑀓𑀼𑀭𑁆𑀭𑀺𑀧𑀺𑀧𑀼
நெய்தல்,𑀦𑁂𑀬𑀺𑀢𑀮𑀺
நிலம் கடலும் கடல் சார்ந்த இடமும்,𑀦𑀺𑀮𑀫𑀺 𑀓𑀝𑀮𑀼𑀫𑀺 𑀓𑀝𑀮𑀺 𑀘𑀸𑀭𑀺𑀦𑀺𑀢 𑀇𑀝𑀫𑀼𑀫𑀺
ஒழுக்கம் இரங்கலும் இரங்கல் நிமித்தமும்,𑀒𑀰𑀼𑀓𑀺𑀓𑀫𑀺 𑀇𑀭𑀗𑀺𑀓𑀮𑀼𑀫𑀺 𑀇𑀭𑀗𑀺𑀓𑀮𑀺 𑀦𑀺𑀫𑀺𑀢𑀺𑀢𑀫𑀼𑀫𑀺
பானலம் தண்கழிப் பாடறிந்து தன்னைமார்,𑀧𑀸𑀦𑁆𑀦𑀮𑀫𑀺 𑀢𑀡𑀺𑀓𑀰𑀺𑀧𑀺 𑀧𑀸𑀝𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼 𑀢𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀫𑀸𑀭𑀺
நூனல நுண்வலையால் நொண்டெடுத்த கானல்,𑀦𑀽𑀦𑁆𑀦𑀮 𑀦𑀼𑀡𑀺𑀯𑀮𑁄𑀬𑀸𑀮𑀺 𑀦𑁅𑀡𑀺𑀝𑁂𑀝𑀼𑀢𑀺𑀢 𑀓𑀸𑀦𑁆𑀦𑀮𑀺
படுபுலால் காப்பாள் படைநெடுங்கண் நோக்கம்,𑀧𑀝𑀼𑀧𑀼𑀮𑀸𑀮𑀺 𑀓𑀸𑀧𑀺𑀧𑀸𑀴𑀺 𑀧𑀝𑁄𑀦𑁂𑀝𑀼𑀗𑀺𑀓𑀡𑀺 𑀦𑁆𑀓𑀺𑀓𑀫𑀺
கடிபொல்லா என்னையே காப்பு,𑀓𑀝𑀺𑀧𑁅𑀮𑀺𑀮𑀸 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀬𑁃 𑀓𑀸𑀧𑀺𑀧𑀼
பெருங்கடல் வெண்சங்கு காரணமாப் பேணாது,𑀧𑁂𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀺 𑀯𑁂𑀡𑀺𑀘𑀗𑀺𑀓𑀼 𑀓𑀸𑀭𑀡𑀫𑀸𑀧𑀺 𑀧𑁃𑀡𑀸𑀢𑀼
இருங்கடல் மூழ்குவார் தங்கை இருங்கடலுள்,𑀇𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀺 𑀫𑀽𑀰𑀺𑀓𑀼𑀯𑀸𑀭𑀺 𑀢𑀗𑀺𑀓𑁄 𑀇𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀼𑀴𑀺
முத்தன்ன வெண்முறுவல் கண்டுருகி நைவார்க்கே,𑀫𑀼𑀢𑀺𑀢𑀦𑁆𑀦𑀺𑀦𑁆𑀦 𑀯𑁂𑀡𑀺𑀫𑀼𑀭𑁆𑀭𑀼𑀯𑀮𑀺 𑀓𑀡𑀺𑀝𑀼𑀭𑀼𑀓𑀺 𑀦𑁄𑀯𑀸𑀭𑀺𑀓𑀺𑀓𑁃
ஒத்தனம் யாமே உளம்,𑀒𑀢𑀺𑀢𑀦𑁆𑀦𑀫𑀺 𑀬𑀸𑀫𑁃 𑀉𑀴𑀫𑀺
தாமரை தான்முகமாத் தண்அடையீர் மாநீலம்,𑀢𑀸𑀫𑀭𑁄 𑀢𑀸𑀦𑁆𑀦𑀺𑀫𑀼𑀓𑀫𑀸𑀢𑀺 𑀢𑀡𑀺𑀅𑀝𑁄𑀬𑀻𑀭𑀺 𑀫𑀸𑀦𑀻𑀮𑀫𑀺
காமர்கண் ஆகக் கழிதுயிற்றும் காமருசீர்த்,𑀓𑀸𑀫𑀭𑀺𑀓𑀡𑀺 𑀆𑀓𑀓𑀺 𑀓𑀰𑀺𑀢𑀼𑀬𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀓𑀸𑀫𑀭𑀼𑀘𑀻𑀭𑀺𑀢𑀺
தண் பரப்ப பாயிருள் நீவரின்தாழ் கோதையாள்,𑀢𑀡𑀺 𑀧𑀭𑀧𑀺𑀧 𑀧𑀸𑀬𑀺𑀭𑀼𑀴𑀺 𑀦𑀻𑀯𑀭𑀺𑀦𑁆𑀦𑀺𑀢𑀸𑀰𑀺 𑀓𑁆𑀢𑁄𑀬𑀸𑀴𑀺
கண்பரப்பக் காணீர் கசிந்து,𑀓𑀡𑀺𑀧𑀭𑀧𑀺𑀧𑀓𑀺 𑀓𑀸𑀡𑀻𑀭𑀺 𑀓𑀘𑀺𑀦𑀺𑀢𑀼
புலால்அகற்றும் பூம்புன்னைப் பொங்கு நீர்ச்சேர்ப்ப,𑀧𑀼𑀮𑀸𑀮𑀺𑀅𑀓𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀧𑀽𑀫𑀺𑀧𑀼𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀧𑀺 𑀧𑁅𑀗𑀺𑀓𑀼 𑀦𑀻𑀭𑀺𑀘𑀺𑀘𑁃𑀭𑀺𑀧𑀺𑀧
நிலாவகற்றும் வெண்மணல்தண் கானல் சுலா அகற்றிக்,𑀦𑀺𑀮𑀸𑀯𑀓𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀯𑁂𑀡𑀺𑀫𑀡𑀮𑀺𑀢𑀡𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀘𑀼𑀮𑀸 𑀅𑀓𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀓𑀺
கங்குல்நீ வாரல் பகல்வரின்மார்க் கவ்வையாம்,𑀓𑀗𑀺𑀓𑀼𑀮𑀺𑀦𑀻 𑀯𑀸𑀭𑀮𑀺 𑀧𑀓𑀮𑀺𑀯𑀭𑀺𑀦𑁆𑀦𑀺𑀫𑀸𑀭𑀺𑀓𑀺 𑀓𑀯𑀺𑀯𑁄𑀬𑀸𑀫𑀺
மங்குல்நீர் வெண்திரையின்மாட்டு,𑀫𑀗𑀺𑀓𑀼𑀮𑀺𑀦𑀻𑀭𑀺 𑀯𑁂𑀡𑀺𑀢𑀺𑀭𑁄𑀬𑀺𑀦𑁆𑀦𑀺𑀫𑀸𑀝𑀺𑀝𑀼
முருகுவாய் முள்தாழை நீள்முகைபார்ப் பென்றே,𑀫𑀼𑀭𑀼𑀓𑀼𑀯𑀸𑀬𑀺 𑀫𑀼𑀴𑀺𑀢𑀸𑀰𑁄 𑀦𑀻𑀴𑀺𑀫𑀼𑀓𑁄𑀧𑀸𑀭𑀺𑀧𑀺 𑀧𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃
குருகுவாய்ப் பெய்துஇரை கொள்ளாது உருகிமிக,𑀓𑀼𑀭𑀼𑀓𑀼𑀯𑀸𑀬𑀺𑀧𑀺 𑀧𑁂𑀬𑀺𑀢𑀼𑀇𑀭𑁄 𑀓𑁅𑀴𑀺𑀴𑀸𑀢𑀼 𑀉𑀭𑀼𑀓𑀺𑀫𑀺𑀓
இன்னா வெயில்சிற கால்மறைக்கும் சேர்ப்ப நீ,𑀇𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸 𑀯𑁂𑀬𑀺𑀮𑀺𑀘𑀺𑀭𑁆𑀭 𑀓𑀸𑀮𑀺𑀫𑀭𑁆𑀭𑁄𑀓𑀺𑀓𑀼𑀫𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧 𑀦𑀻
மன்னா வரவு மற,𑀫𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸 𑀯𑀭𑀯𑀼 𑀫𑀭𑁆𑀭
ஓதநீர் வேலி உரைகடியாப் பாக்கத்தார்,𑀓𑀢𑀦𑀻𑀭𑀺 𑀯𑁃𑀮𑀺 𑀉𑀭𑁄𑀓𑀝𑀺𑀬𑀸𑀧𑀺 𑀧𑀸𑀓𑀺𑀓𑀢𑀺𑀢𑀸𑀭𑀺
காதல்நீர் வாராமை கண்ணோக்கி ஓதநீர்,𑀓𑀸𑀢𑀮𑀺𑀦𑀻𑀭𑀺 𑀯𑀸𑀭𑀸𑀫𑁄 𑀓𑀡𑀺𑀡𑁆𑀓𑀺𑀓𑀺 𑀓𑀢𑀦𑀻𑀭𑀺
அன்றறியும் ஆதலால் வாராது அலர்ஒழிய,𑀅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀭𑁆𑀭𑀺𑀬𑀼𑀫𑀺 𑀆𑀢𑀮𑀸𑀮𑀺 𑀯𑀸𑀭𑀸𑀢𑀼 𑀅𑀮𑀭𑀺𑀒𑀰𑀺𑀬
மன்றறியக் கொள்ளீர் வரைந்து,𑀫𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀭𑁆𑀭𑀺𑀬𑀓𑀺 𑀓𑁅𑀴𑀺𑀴𑀻𑀭𑀺 𑀯𑀭𑁄𑀦𑀺𑀢𑀼
மாக்கடல்சேர் வெண்மணல் தண்கானல் பாய்திரைசேர்,𑀫𑀸𑀓𑀺𑀓𑀝𑀮𑀺𑀘𑁃𑀭𑀺 𑀯𑁂𑀡𑀺𑀫𑀡𑀮𑀺 𑀢𑀡𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀧𑀸𑀬𑀺𑀢𑀺𑀭𑁄𑀘𑁃𑀭𑀺
மாக்கடல்சேர் தண்பரப்பன் மார்புஅணங்கா மாக்கடலே,𑀫𑀸𑀓𑀺𑀓𑀝𑀮𑀺𑀘𑁃𑀭𑀺 𑀢𑀡𑀺𑀧𑀭𑀧𑀺𑀧𑀦𑁆𑀦𑀺 𑀫𑀸𑀭𑀺𑀧𑀼𑀅𑀡𑀗𑀺𑀓𑀸 𑀫𑀸𑀓𑀺𑀓𑀝𑀮𑁃
என்போலத் துஞ்சாய் இதுசெய்தார் யார்உரையாய்,𑀏𑀦𑁆𑀦𑀺𑀧𑁆𑀮𑀢𑀺 𑀢𑀼𑀜𑀺𑀘𑀸𑀬𑀺 𑀇𑀢𑀼𑀘𑁂𑀬𑀺𑀢𑀸𑀭𑀺 𑀬𑀸𑀭𑀺𑀉𑀭𑁄𑀬𑀸𑀬𑀺
என்போலும் துன்பம் நினக்கு,𑀏𑀦𑁆𑀦𑀺𑀧𑁆𑀮𑀼𑀫𑀺 𑀢𑀼𑀦𑁆𑀦𑀺𑀧𑀫𑀺 𑀦𑀺𑀦𑁆𑀦𑀓𑀺𑀓𑀼
தந்தார்க்கே ஆம்ஆல் தட மென்தோள் இன்னநாள்,𑀢𑀦𑀺𑀢𑀸𑀭𑀺𑀓𑀺𑀓𑁃 𑀆𑀫𑀺𑀆𑀮𑀺 𑀢𑀝 𑀫𑁂𑀦𑁆𑀦𑀺𑀢𑁆𑀴𑀺 𑀇𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀦𑀸𑀴𑀺
வந்தார்க்கே ஆம்என்பார் வாய்காண்பாம் வந்தார்க்கே,𑀯𑀦𑀺𑀢𑀸𑀭𑀺𑀓𑀺𑀓𑁃 𑀆𑀫𑀺𑀏𑀦𑁆𑀦𑀺𑀧𑀸𑀭𑀺 𑀯𑀸𑀬𑀺𑀓𑀸𑀡𑀺𑀧𑀸𑀫𑀺 𑀯𑀦𑀺𑀢𑀸𑀭𑀺𑀓𑀺𑀓𑁃
காவா இளமணல் தண்கழிக் கானல்வாய்ப்,𑀓𑀸𑀯𑀸 𑀇𑀴𑀫𑀡𑀮𑀺 𑀢𑀡𑀺𑀓𑀰𑀺𑀓𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀺𑀯𑀸𑀬𑀺𑀧𑀺
பூவா இளஞாழல் போது,𑀧𑀽𑀯𑀸 𑀇𑀴𑀜𑀸𑀰𑀮𑀺 𑀧𑁆𑀢𑀼
தன்துணையோடு ஆடும் அலவனையும் தான் நோக்கா,𑀢𑀦𑁆𑀦𑀺𑀢𑀼𑀡𑁄𑀬𑁆𑀝𑀼 𑀆𑀝𑀼𑀫𑀺 𑀅𑀮𑀯𑀦𑁆𑀦𑁄𑀬𑀼𑀫𑀺 𑀢𑀸𑀦𑁆𑀦𑀺 𑀦𑁆𑀓𑀺𑀓𑀸
இன்துணையோடு ஆட இயையுமோ இன்துணையோடு,𑀇𑀦𑁆𑀦𑀺𑀢𑀼𑀡𑁄𑀬𑁆𑀝𑀼 𑀆𑀝 𑀇𑀬𑁄𑀬𑀼𑀫𑁆 𑀇𑀦𑁆𑀦𑀺𑀢𑀼𑀡𑁄𑀬𑁆𑀝𑀼
ஆடினாய் நீயாயின் அந்நோய்க்குஎன் நொந்தென்று,𑀆𑀝𑀺𑀦𑁆𑀦𑀸𑀬𑀺 𑀦𑀻𑀬𑀸𑀬𑀺𑀦𑁆𑀦𑀺 𑀅𑀦𑀺𑀦𑁆𑀬𑀺𑀓𑀺𑀓𑀼𑀏𑀦𑁆𑀦𑀺 𑀦𑁅𑀦𑀺𑀢𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
